song_id,song_name,artist,genre,duration_sec,release_date
1,Sunrise Echo,The North,Ambient,210,2024-11-15
2,Night Drive,Neon Lane,Synthwave,195,2024-09-08
3,River Flow,Mina Hart,Lo-Fi,180,2024-12-22
4,City Lights,Orbit Nine,Pop,224,2025-01-10
5,Paper Planes,Indie Atlas,Indie,201,2024-08-19
6,Golden Hour,Ari Vale,Pop,232,2025-02-14
7,Static Dreams,Pixel Soul,Electro,188,2024-10-05
8,Blue Horizon,Luna Reed,Chill,244,2024-12-01
9,Ember Trail,Wild North,Folk,207,2025-03-11
10,Quiet Storm,Harbor Note,Instrumental,260,2024-07-30
